Seq#,ID#,Gender,M,R,F,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence
1576,13039,0,166,14,2,16,0,1,0,0,0,0,0,0,0,0,0
693,6096,1,245,14,1,14,0,0,1,0,0,0,0,0,0,0,0
3222,26528,1,99,12,2,18,0,0,0,1,0,0,0,0,0,0,0
3734,31047,0,178,24,1,24,1,0,0,0,0,0,0,1,0,0,0
1245,10403,1,314,12,2,16,1,0,0,0,0,0,0,0,0,0,0
2552,21048,0,224,10,1,10,0,0,0,0,0,0,0,0,0,0,0
350,3057,1,86,6,1,6,0,0,0,0,0,0,0,0,0,0,0
2182,18009,1,46,6,2,14,1,0,0,0,0,0,0,0,0,0,0
3966,32682,0,194,6,2,8,0,0,0,0,0,2,0,0,0,0,0
996,8234,0,305,10,1,10,0,0,0,0,0,0,0,0,0,0,0
175,1484,1,151,12,4,34,0,1,0,1,1,0,0,0,0,0,0
3581,29727,1,157,2,6,18,1,0,2,0,0,0,0,0,0,0,0
200,1741,1,280,14,2,22,0,0,1,0,0,0,0,0,0,0,0
3932,32371,0,152,2,1,2,0,0,0,0,0,0,2,0,0,0,0
1049,8673,1,183,12,11,62,3,2,3,1,0,0,1,0,0,0,0
2815,23303,1,225,16,1,16,1,0,0,0,0,1,0,0,0,0,0
450,4048,1,244,30,9,52,1,3,1,2,1,0,1,0,0,0,0
1634,13567,0,400,36,11,60,5,0,3,0,2,0,0,0,0,0,0
880,7331,0,121,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1399,11654,1,60,2,2,10,0,0,0,0,0,0,0,0,0,0,0
1179,9856,0,227,16,1,16,0,0,0,0,0,1,0,0,0,0,0
2606,21622,1,244,10,2,16,0,0,0,0,0,0,2,0,0,0,0
2021,16708,1,61,16,2,20,1,0,0,0,0,1,1,0,0,0,0
799,6775,1,417,14,12,44,2,1,2,3,1,1,2,0,0,0,0
2677,22176,0,103,8,2,12,0,0,0,0,0,0,0,0,0,0,0
2856,23603,1,90,22,1,22,1,0,0,0,0,1,0,0,0,0,0
2771,22938,1,203,34,1,34,0,0,0,0,0,0,0,0,0,0,0
2199,18153,1,298,12,3,20,0,0,0,0,1,0,1,0,0,0,0
1673,13829,1,218,6,1,6,0,0,0,0,0,0,0,0,0,0,0
586,5300,0,354,6,9,30,2,1,1,1,0,1,0,1,0,1,0
