,items,support,ordered_statistics
0,"frozenset({'8 GB', '10 inch screen', '750 GB'})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'10 inch screen', '750 GB'}), items_add=frozenset({'8 GB'}), confidence=1.0, lift=5.153846153846153), OrderedStatistic(items_base=frozenset({'8 GB', '10 inch screen'}), items_add=frozenset({'750 GB'}), confidence=1.0, lift=3.941176470588235)]"
1,"frozenset({'Intel Core i3', '10 inch screen', '750 GB'})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'10 inch screen', '750 GB'}), items_add=frozenset({'Intel Core i3'}), confidence=1.0, lift=3.0454545454545454)]"
2,"frozenset({'8 GB', 'Intel Core i3', '10 inch screen'})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'8 GB', '10 inch screen'}), items_add=frozenset({'Intel Core i3'}), confidence=1.0, lift=3.0454545454545454)]"
3,"frozenset({'320 GB', 'Intel Core i3', '15 inch screen'})",0.029850746268656716,"[OrderedStatistic(items_base=frozenset({'Intel Core i3', '15 inch screen'}), items_add=frozenset({'320 GB'}), confidence=1.0, lift=3.5263157894736845)]"
4,"frozenset({'8 GB', '750 GB', '15 inch screen'})",0.07462686567164178,"[OrderedStatistic(items_base=frozenset({'750 GB'}), items_add=frozenset({'8 GB', '15 inch screen'}), confidence=0.2941176470588235, lift=3.284313725490196), OrderedStatistic(items_base=frozenset({'8 GB'}), items_add=frozenset({'750 GB', '15 inch screen'}), confidence=0.3846153846153846, lift=3.221153846153846), OrderedStatistic(items_base=frozenset({'750 GB', '15 inch screen'}), items_add=frozenset({'8 GB'}), confidence=0.625, lift=3.2211538461538463), OrderedStatistic(items_base=frozenset({'8 GB', '15 inch screen'}), items_add=frozenset({'750 GB'}), confidence=0.8333333333333333, lift=3.2843137254901955)]"
5,"frozenset({'Intel Core i7', '750 GB', '15 inch screen'})",0.07462686567164178,"[OrderedStatistic(items_base=frozenset({'750 GB'}), items_add=frozenset({'Intel Core i7', '15 inch screen'}), confidence=0.2941176470588235, lift=3.941176470588235), OrderedStatistic(items_base=frozenset({'Intel Core i7'}), items_add=frozenset({'750 GB', '15 inch screen'}), confidence=0.41666666666666663, lift=3.489583333333333), OrderedStatistic(items_base=frozenset({'750 GB', '15 inch screen'}), items_add=frozenset({'Intel Core i7'}), confidence=0.625, lift=3.4895833333333335), OrderedStatistic(items_base=frozenset({'Intel Core i7', '15 inch screen'}), items_add=frozenset({'750 GB'}), confidence=1.0, lift=3.941176470588235)]"
6,"frozenset({'Intel Core i7', '8 GB', '15 inch screen'})",0.05970149253731343,"[OrderedStatistic(items_base=frozenset({'8 GB'}), items_add=frozenset({'Intel Core i7', '15 inch screen'}), confidence=0.30769230769230765, lift=4.123076923076923), OrderedStatistic(items_base=frozenset({'Intel Core i7'}), items_add=frozenset({'8 GB', '15 inch screen'}), confidence=0.33333333333333337, lift=3.7222222222222228), OrderedStatistic(items_base=frozenset({'8 GB', '15 inch screen'}), items_add=frozenset({'Intel Core i7'}), confidence=0.6666666666666667, lift=3.7222222222222228), OrderedStatistic(items_base=frozenset({'Intel Core i7', '15 inch screen'}), items_add=frozenset({'8 GB'}), confidence=0.8, lift=4.1230769230769235)]"
7,"frozenset({'320 GB', '4 GB', '2 GB '})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'4 GB', '2 GB '}), items_add=frozenset({'320 GB'}), confidence=1.0, lift=3.5263157894736845)]"
8,"frozenset({'Intel Core i3', '4 GB', '2 GB '})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'4 GB', '2 GB '}), items_add=frozenset({'Intel Core i3'}), confidence=1.0, lift=3.0454545454545454)]"
9,"frozenset({'Intel Core i7', '4 GB', '750 GB'})",0.05970149253731343,"[OrderedStatistic(items_base=frozenset({'Intel Core i7'}), items_add=frozenset({'4 GB', '750 GB'}), confidence=0.33333333333333337, lift=3.190476190476191), OrderedStatistic(items_base=frozenset({'4 GB', '750 GB'}), items_add=frozenset({'Intel Core i7'}), confidence=0.5714285714285714, lift=3.1904761904761907)]"
